dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_weekly,chronos,13,1354,0.12951889099218905,0.5384615384615384,0.4484675480769231
m4_weekly,chronos,13,1375,0.07840000337515121,1.0,0.6817310039813702
m4_weekly,chronos,14,558,1.3469233243893353,0.9230769230769231,10.775841346153847
m4_weekly,chronos,14,567,1.0997917126386594,0.9230769230769231,8.09735576923077
m4_weekly,chronos,14,575,1.1236674602215109,0.8461538461538461,5.072115384615385
m4_weekly,chronos,14,584,1.257165143428705,0.9230769230769231,9.96875
m4_weekly,chronos,14,592,1.138207670358511,0.8461538461538461,5.290865384615385
m4_weekly,chronos,14,601,1.1916666177602913,0.8461538461538461,5.603365384615385
m4_weekly,chronos,14,609,3.7509538895044567,0.5384615384615384,12.807692307692308
m4_weekly,chronos,14,618,1.056963245685284,0.9230769230769231,6.199519230769231
m4_weekly,chronos,15,298,0.19838409057030318,0.8461538461538461,0.9867788461538461
m4_weekly,chronos,15,302,0.10263750981061887,1.0,1.2788461538461537
m4_weekly,chronos,15,305,0.09455720339065943,1.0,1.0973557692307692
m4_weekly,chronos,15,309,0.09434157273708245,1.0,0.8996394230769231
m4_weekly,chronos,15,313,0.11880151736430633,1.0,0.7782451923076923
m4_weekly,chronos,15,317,0.13060112794240317,1.0,0.7512019230769231
m4_weekly,chronos,15,320,0.2294240572513678,0.23076923076923078,0.5823317307692307
m4_weekly,chronos,15,324,0.12111297815273968,0.7692307692307693,0.5516826923076923
m4_weekly,chronos,16,1228,0.6306594610214232,0.0,0.49278846153846156
m4_weekly,chronos,16,1249,0.21176414856543907,1.0,1.5348557692307692
m4_weekly,chronos,16,1270,0.22058594777033877,0.9230769230769231,1.3485576923076923
m4_weekly,chronos,16,1291,0.1522376353924091,0.7692307692307693,0.7782451923076923
m4_weekly,chronos,16,1312,0.26947265404921306,0.3076923076923077,0.8143028846153846
m4_weekly,chronos,16,1333,0.2519867083965204,0.38461538461538464,0.5528846153846154
m4_weekly,chronos,16,1354,0.21610432282472267,1.0,1.9969951923076923
m4_weekly,chronos,16,1375,0.14903986148345164,1.0,1.2965745192307692
m4_weekly,chronos,17,1666,0.1595718609981048,0.6923076923076923,0.7746394230769231
m4_weekly,chronos,17,1695,0.12871089226160295,1.0,0.8070913461538461
m4_weekly,chronos,17,1725,0.11097834293658916,1.0,0.9819711538461539
m4_weekly,chronos,17,1754,0.09287756650875775,0.9230769230769231,0.5721153846153846
m4_weekly,chronos,17,1784,0.0781331447454599,1.0,0.6478365384615384
m4_weekly,chronos,17,1813,0.10325918075365897,0.8461538461538461,0.5102163461538461
m4_weekly,chronos,17,1843,0.10564715067545574,0.7692307692307693,0.7415865384615384
m4_weekly,chronos,17,1872,0.25003965451167176,0.38461538461538464,0.49038461538461536
m4_weekly,chronos,18,1228,0.37737033795087765,0.3076923076923077,1.4110576923076923
m4_weekly,chronos,18,1249,0.5202226540981193,0.5384615384615384,1.4747596153846154
m4_weekly,chronos,18,1270,0.35937650876167493,0.6923076923076923,2.1712740384615383
m4_weekly,chronos,18,1291,0.6085770130157473,0.3076923076923077,1.1057692307692308
m4_weekly,chronos,18,1312,0.6696364353864621,0.0,1.2734375
m4_weekly,chronos,18,1333,0.130512762375367,0.6153846153846154,0.5925480769230769
m4_weekly,chronos,18,1354,0.2805201473908546,0.6923076923076923,0.8873197115384616
