role,method,dataset,domain,windows,series,mse,mae,rmse,mase,rmsse,smape,wape_numerator,wape_denominator,wape,patchtst_mse,relative_mse_reduction
confirmation,oracle_selector,tourism_monthly,tourism,192,24,12.468182180579241,2.3433211206433446,2.779290358889314,1.6317390412476456,1.5206000814829668,0.3065384130600655,23714048.434832178,1.5730925e+08,0.15074796133303095,13.826759269397877,0.09825708702584501
confirmation,patchtst,bitcoin,economic,144,18,9390.32478097645,33.45378735778272,37.584593980918,13.894459721868337,1.7285181850391043,0.3150559856705331,4.516410923551327e+21,2.944461e+22,0.15338667354322422,9390.32478097645,0.0
confirmation,patchtst,fred_md,macroeconomic,192,24,40.255214690246945,1.251244129267295,1.3802483376373764,0.7996891381666932,0.7720911029390196,0.09891551193344615,25600915.45688653,2.5137315e+08,0.10184427116896927,40.255214690246945,0.0
confirmation,patchtst,kdd_air,air_quality,192,24,1.1057381086564229,0.6555717526574275,0.7465415767512958,73.82721569602872,0.8910900523667401,0.5884674452310679,127654.24441342757,237219.4,0.5381273245364072,1.1057381086564229,0.0
confirmation,patchtst,m4_hourly,competition_hourly,192,24,0.5009415711731597,0.5148987303315554,0.6108529120781949,4.03207031862159,3.7910220828850694,0.1648163535729145,5223661.25602686,7.485511e+07,0.06978362755007113,0.5009415711731597,0.0
confirmation,patchtst,m4_weekly,competition_weekly,192,24,2.6003773882075536,0.7303843482074789,0.8556239923518789,3.878178604125012,3.341394531085108,0.06678485525260792,725581.4116930937,1.4279037e+07,0.05081445000059134,2.6003773882075536,0.0
confirmation,patchtst,nn5,banking,192,24,0.830744318037187,0.6888656419325433,0.8953684457067358,1.1417053422102623,1.049906893710018,0.2910726086978323,52218.59559191824,198289.8,0.2633448438339787,0.830744318037187,0.0
confirmation,patchtst,pedestrian,transport,192,24,0.26949376454565516,0.3434163603116707,0.4285294648525925,1.4963238924355873,1.2668917914933233,0.666650507301951,719481.6502436725,1.918964e+06,0.37493233340681353,0.26949376454565516,0.0
confirmation,patchtst,rideshare,mobility,192,24,2.7234766475307595,1.5738894288897427,1.6147335592789072,561443.2533721428,158.40173936705077,1.2932895470634886,16182.723847385243,20529.19,0.7882787522778631,2.7234766475307595,0.0
confirmation,patchtst,temperature_rain,climate,192,24,4.469381644411449,1.1168913006869052,1.5140063685216012,1.295893188023656,0.9300704166588948,1.448056819414898,40418.334031624545,41609.645,0.9713693660917784,4.469381644411449,0.0
confirmation,patchtst,tourism_monthly,tourism,192,24,13.826759269397877,2.537457845217836,2.988882221836276,1.8248324361194317,1.682612079424235,0.3317653170687592,27343355.78623128,1.5730925e+08,0.1738191246469583,13.826759269397877,0.0
confirmation,pir_adapter,bitcoin,economic,144,18,9381.269667523988,33.41200539613206,37.5466723877025,15173.893631450665,78.56983200694309,0.3268810931522817,4.5134681499634416e+21,2.944461e+22,0.15328673085437747,9390.32478097645,0.000964302477674428
confirmation,pir_adapter,fred_md,macroeconomic,192,24,39.93344287769284,1.2851138653499623,1.4129020332729805,1.3820488759482508,1.2308095336879594,0.16015903895396824,25167404.37315693,2.5137315e+08,0.10011969923167026,40.255214690246945,0.00799329515517555
confirmation,pir_adapter,kdd_air,air_quality,192,24,1.1480784610978423,0.6713704309383198,0.7690203046417791,246563.9235719513,30.116401112467134,0.6106898227795243,127649.5325906216,237219.4,0.5381074618157282,1.1057381086564229,-0.038291483408188665
confirmation,pir_adapter,m4_hourly,competition_hourly,192,24,0.4381696255884811,0.491944455502461,0.5857499448000809,4.2495687066537835,3.9761091717773875,0.17060502507938205,5023681.579742428,7.485511e+07,0.06711207084617585,0.5009415711731597,0.12530791852166
